"","elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
"204741",10,5,2,4,"true","false",1024,512,1.91114655962754e-09
"13752",6,6,1,2,"true","true",1024,2,1.16501321248061e-10
"10432",6,3,8,4,"true","false",32,16,3.99311454774063e-09
"15212",4,4,1,4,"true","false",512,8,1.25366521299284e-10
"45416",4,2,1,2,"true","false",256,2,1.79879678295205e-10
"7819",24,6,2,4,"true","false",64,1,1.41924380072479e-10
"13733",16,4,2,2,"true","true",256,4,1.58782935276874e-10
"10729",5,5,4,4,"true","false",512,64,1.35355983393365e-09
"14906",16,4,4,2,"true","false",512,64,3.76590291248218e-10
"15499",18,6,4,2,"true","true",128,4,1.85126994889401e-10
"2546",2,2,1,2,"true","false",512,256,1.95234560997693e-09
"20647",18,6,4,2,"true","true",512,16,1.93046822331176e-10
"9014",8,4,2,2,"true","false",256,16,2.29441377034785e-10
"20018",4,2,2,4,"true","true",1024,2,1.86773267036486e-10
"11403",12,3,8,4,"true","false",128,64,2.06028577633383e-09
"16379",15,5,1,2,"true","true",128,1,1.72122122319496e-10
"10733",1,1,1,4,"true","false",1024,512,2.73737520858231e-09
"92621",10,5,2,4,"true","true",512,4,1.40742193789431e-10
"8883",15,5,1,2,"true","false",128,4,1.74103823841959e-10
"475",2,1,1,4,"true","false",512,128,1.39820998151986e-09
"4387",3,3,4,4,"true","true",512,256,5.79876175019928e-09
"17027",20,5,2,4,"true","false",512,256,1.43470198311385e-09
"116182",2,1,2,2,"true","true",1024,8,2.50807208898201e-10
"21273",8,2,2,2,"true","true",512,256,1.66934631509031e-09
