"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
8,4,16,2,"true","true",256,16,1.14247627886169e-09
5,5,16,4,"true","false",128,4,1.31897063430789e-09
12,4,1,4,"true","false",512,32,2.71968698965779e-10
3,3,2,4,"true","false",64,8,8.45219598709003e-10
18,6,1,4,"true","false",512,16,1.7504024748194e-10
16,4,4,2,"true","false",1024,2,2.13495604414304e-10
16,4,4,4,"true","false",512,512,2.85833776454137e-09
5,5,1,2,"true","false",256,64,7.49493464928194e-10
6,3,8,2,"true","true",512,2,4.22870014665955e-10
12,6,16,2,"true","false",32,4,1.65159383965145e-09
4,4,4,2,"true","true",1024,4,5.72039816874805e-10
4,1,16,2,"true","false",32,32,1.04937786321559e-08
6,2,2,2,"true","true",1024,1024,4.77297720942709e-09
12,4,1,4,"true","false",128,128,3.07472939446034e-09
12,4,16,2,"true","true",256,1,6.81082205381249e-10
8,4,8,2,"true","false",32,1,4.64971708549334e-10
4,2,1,2,"true","true",256,2,1.84861911352974e-10
8,4,2,4,"true","false",1024,128,4.55079559509264e-10
20,5,8,4,"true","true",64,8,5.26538316907088e-10
20,5,2,4,"true","true",512,32,2.14824746012082e-10
2,1,1,4,"true","false",1024,2,2.64117802349561e-10
4,1,16,2,"true","true",512,1,8.15551081347063e-10
6,3,1,2,"true","false",1024,1024,3.64996592811392e-09
4,1,8,4,"true","false",256,256,6.48687772602741e-09
12,6,1,4,"true","true",128,16,3.69077890860258e-10
20,5,16,4,"true","true",128,128,6.8313329021293e-09
6,2,8,2,"true","true",128,1,3.81720830860871e-10
18,6,16,2,"true","false",256,32,1.24997990782937e-09
2,1,4,2,"true","true",512,16,4.61997229087088e-10
2,2,16,4,"true","false",32,1,1.69904265474355e-09
6,2,2,4,"true","true",512,1,2.75117419019807e-10
6,2,16,4,"true","false",256,2,6.22271176151477e-10
12,3,8,2,"true","false",1024,4,3.37300955402659e-10
