"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
1,1,1,4,"true","true",32,32,5.37539557454776e-09,5
1,1,2,2,"true","true",32,16,5.38230423475533e-09,5
8,2,1,2,"true","false",64,8,4.62191528197925e-10,5
6,6,4,2,"true","true",256,64,2.55233220907733e-09,5
2,2,2,4,"true","false",512,128,1.89593826547286e-09,5
24,6,2,2,"true","false",256,64,6.67607513144644e-10,5
4,1,16,2,"true","true",64,64,1.06190322382176e-08,5
4,4,1,2,"true","true",32,1,2.42689122320641e-10,5
12,6,4,4,"true","false",256,256,5.43816380023359e-09,5
8,2,8,4,"true","true",64,32,2.38992385023934e-09,5
1,1,4,2,"true","true",256,32,2.41690476976511e-09,5
12,3,2,4,"true","false",64,2,1.78052299380704e-10,5
8,4,1,4,"true","true",256,1,1.5322820873167e-10,5
9,3,16,2,"true","false",256,32,1.29880647423518e-09,5
5,5,4,2,"true","false",64,32,4.82293658401835e-09,5
4,1,16,4,"true","false",128,4,7.26710334919019e-10,5
12,6,4,2,"true","true",512,128,1.37712955689386e-09,5
15,5,2,4,"true","true",32,2,3.05123922379661e-10,6
9,3,2,2,"true","false",64,8,5.39655874222107e-10,6
3,1,8,2,"true","false",256,4,5.47984249963452e-10,6
20,5,2,4,"true","false",32,4,3.46780912151083e-10,6
12,6,2,4,"true","true",256,1,1.38642807344938e-10,6
4,4,8,4,"true","true",128,2,6.5730929643044e-10,6
15,5,8,2,"true","false",1024,16,3.41352658244625e-10,6
9,3,2,2,"true","true",256,32,5.38457921006075e-10,6
12,3,16,4,"true","true",128,64,3.44494833001189e-09,6
3,3,1,4,"true","false",256,2,1.36428267521488e-10,6
6,2,16,2,"true","false",1024,1,7.65276863619987e-10,6
12,4,4,2,"true","false",64,32,1.72395103851807e-09,6
5,5,1,2,"true","false",32,8,6.91591156757964e-10,6
4,4,2,2,"true","true",512,2,2.61272447262947e-10,6
2,2,2,2,"true","true",256,16,5.45636667742858e-10,6
12,3,16,4,"true","true",32,4,1.04082335381713e-09,6
12,3,4,2,"true","false",64,8,3.91931190968611e-10,6
5,5,4,4,"true","true",32,2,7.61292133287711e-10,6
4,4,1,2,"true","true",128,1,1.2777883632919e-10,6
1,1,4,2,"true","false",64,2,9.13386995149976e-10,6
24,6,8,4,"true","true",32,16,1.72769120958098e-09,6
8,2,4,2,"true","true",1024,512,1.8365769928756e-09,6
8,2,16,2,"true","false",128,1,4.97579428522901e-10,6
18,6,16,2,"true","true",128,32,2.17957024530871e-09,6
4,4,1,2,"true","true",512,1,1.31170808386878e-10,6
4,2,16,2,"true","false",128,2,8.07687326706276e-10,6
6,6,16,4,"true","false",32,4,3.06901391639066e-09,6
4,1,2,4,"true","true",512,16,3.12996913559782e-10,6
6,3,1,2,"true","true",256,64,8.30001491068875e-10,6
2,1,1,2,"true","true",32,8,1.39148108297548e-09,6
2,2,1,4,"true","true",1024,1024,3.96052325645967e-09,6
12,4,8,4,"true","false",256,8,3.066666259496e-10,6
1,1,8,2,"true","true",128,64,1.31290466291579e-08,6
20,5,8,4,"true","false",256,1,2.4071201592326e-10,6
15,5,16,2,"true","false",128,4,5.64126568227299e-10,6
3,3,4,2,"true","true",1024,2,6.30756380289822e-10,6
8,4,8,2,"true","false",32,4,1.05103968193087e-09,6
20,5,8,2,"true","true",64,1,2.19134541569844e-10,6
5,5,1,2,"true","false",512,2,1.19264177349936e-10,6
2,1,2,2,"true","false",512,32,4.15619937324882e-10,6
2,2,4,4,"true","true",32,4,1.71146773236378e-09,6
4,4,1,2,"true","false",1024,32,1.37167749817361e-10,6
9,3,16,4,"true","true",512,8,5.75724677547899e-10,6
6,3,8,4,"true","false",128,1,4.23194581837815e-10,6
10,5,4,4,"true","false",128,2,2.4475379211303e-10,6
8,4,8,4,"true","true",256,128,4.08087386032385e-09,6
3,3,16,2,"true","false",32,8,6.68002986349266e-09,6
12,3,4,2,"true","false",32,32,2.65670905013837e-09,6
12,3,2,4,"true","true",128,64,1.38731443947903e-09,6
12,3,4,2,"true","false",512,256,1.48745760729743e-09,6
9,3,1,4,"true","false",64,1,2.03695756188027e-10,7
12,4,1,2,"true","true",32,1,2.1152616070402e-10,7
18,6,2,4,"true","true",256,1,1.82257520609555e-10,7
