"","elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
"19093",12,6,16,4,"true","false",32,8,2.917219916879e-09
"20884",24,6,8,4,"true","true",512,2,3.12827541570346e-10
"17662",24,6,1,4,"true","false",256,32,3.43980212169553e-10
"2004",3,1,2,2,"true","false",128,64,3.0611499834322e-09
"12090",16,4,4,2,"true","true",1024,16,1.9945800952917e-10
"19706",20,5,1,4,"true","false",64,2,1.49348627127726e-10
"5390",4,4,8,2,"true","false",128,128,1.60192878947648e-08
"16309",24,6,8,2,"true","true",512,2,2.49682128393541e-10
"19027",2,2,1,2,"true","true",1024,1024,3.95541574509845e-09
"18209",6,6,16,4,"true","true",32,32,2.41748221747033e-08
"982",1,1,16,2,"true","false",64,8,5.65097434370562e-09
"18843",12,4,4,4,"true","false",64,32,1.72344782966423e-09
"16096",3,3,16,2,"true","true",1024,16,1.34749615258709e-09
"969",3,3,1,4,"true","true",128,4,1.40785595997549e-10
"9412",18,6,2,4,"true","false",512,2,1.9434157561874e-10
"1835",4,2,16,2,"true","false",32,1,9.56657186793212e-10
"14289",8,2,4,4,"true","true",1024,64,3.13817448363832e-10
"2274",2,1,8,2,"true","true",256,1,7.26914894966453e-10
"13068",12,3,8,4,"true","false",64,1,2.565328906408e-10
"16307",5,5,1,2,"true","false",128,1,1.20098079634856e-10
"8629",18,6,8,2,"true","false",512,2,3.72802896876784e-10
"9359",12,6,2,4,"true","false",128,4,1.39155017527073e-10
"1525",4,2,1,4,"true","false",32,2,3.39151124479805e-10
"193",4,2,1,4,"true","true",256,64,9.69492032043419e-10
"1590",2,2,4,2,"true","false",512,2,5.89512117158854e-10
"13353",6,6,8,2,"true","true",256,2,6.14378643762391e-10
"8853",2,1,4,2,"true","true",1024,64,7.05414010852036e-10
"3678",3,3,1,4,"true","false",512,32,2.38158135603349e-10
"1473",1,1,8,2,"true","true",128,4,1.29113095520123e-09
"308",3,3,8,2,"true","true",256,32,2.13395317192902e-09
"1573",3,3,16,4,"true","false",32,8,6.69578964295489e-09
"10581",12,3,16,4,"true","false",64,1,4.31350718950052e-10
"17418",18,6,8,2,"true","true",256,256,5.63970516047954e-09
"207461",6,6,8,4,"true","false",64,2,6.08363298625413e-10
"11054",16,4,8,2,"true","true",256,16,3.32792510996606e-10
"8073",24,6,2,2,"true","true",32,1,1.65562356616534e-10
"5071",3,3,1,4,"true","true",64,4,2.30115132013043e-10
"21354",12,6,4,4,"true","false",256,256,5.43816380023359e-09
"11792",10,5,2,2,"true","false",32,32,2.72373065513762e-09
"11365",24,6,4,4,"true","false",512,8,1.5542149507967e-10
"735",3,1,4,4,"true","false",128,2,3.73732316917417e-10
"8869",8,4,4,2,"true","false",1024,8,2.87426475813693e-10
"9911",9,3,1,4,"true","true",512,256,1.70534878143735e-09
"21424",5,5,1,2,"true","true",64,16,7.03643208541967e-10
"5298",3,3,2,4,"true","true",32,2,5.41270302909956e-10
"21957",16,4,1,2,"true","false",512,1,1.80539443989917e-10
"4810",4,2,4,4,"true","true",256,128,3.17441012682115e-09
"9826",6,6,2,2,"true","true",32,16,2.5780270429802e-09
"12784",9,3,2,4,"true","false",64,2,2.29825555317051e-10
"16357",5,5,1,2,"true","true",32,16,1.35556301061382e-09
"6864",12,4,8,2,"true","false",64,8,7.3347185260877e-10
"22144",12,6,8,2,"true","true",256,256,8.41584035022607e-09
"6860",16,4,2,4,"true","false",512,128,7.20775388990259e-10
"21910",12,6,1,4,"true","false",64,2,1.43200950993908e-10
"2455",4,2,16,4,"true","false",128,2,8.12628005563504e-10
"16755",2,1,16,2,"true","true",1024,1024,2.20888659880515e-08
"14650",12,6,1,4,"true","true",128,4,1.40675477804834e-10
"1209",1,1,8,2,"true","false",512,128,6.61917925673033e-09
"7170",12,6,1,2,"true","true",128,2,1.39646781237429e-10
"16169",12,6,2,2,"true","true",256,2,1.36929473450724e-10
"16393",20,5,4,2,"true","false",64,16,6.38985774939938e-10
"15784",5,5,2,4,"true","true",1024,16,2.99195375641404e-10
"5177",1,1,16,2,"true","true",128,8,3.21107151344494e-09
"13448",12,4,16,4,"true","false",64,2,5.38396053830022e-10
"9673",6,2,4,2,"true","false",512,1,2.71161406139834e-10
"2701",2,2,4,2,"true","true",64,32,6.3267694729221e-09
