"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
9,3,4,2,"true","true",512,64,5.50214221721137e-10,3
10,5,2,2,"true","true",256,256,3.11922574642853e-09,3
18,6,16,2,"true","true",128,32,2.17957024530871e-09,3
6,6,4,4,"true","false",256,2,4.03334440562267e-10,3
2,2,1,4,"true","false",32,2,4.05043479312196e-10,3
4,4,4,4,"true","false",256,1,4.66264028438858e-10,3
20,5,8,2,"true","true",128,64,1.97804157666079e-09,3
12,3,4,2,"true","true",32,8,7.27466586782946e-10,3
5,5,8,2,"true","false",512,32,1.06836428493728e-09,3
8,4,1,2,"true","false",64,4,2.30354961887403e-10,3
18,6,2,2,"true","true",1024,512,2.27207791330971e-09,3
12,4,4,2,"true","true",256,256,3.63652324264131e-09,3
8,4,16,4,"true","true",256,4,8.98111529562206e-10,3
12,6,4,2,"true","false",1024,4,2.57630238671027e-10,3
2,2,1,4,"true","false",512,16,1.59396715794965e-10,3
4,1,4,2,"true","false",256,8,3.10651886458004e-10,3
12,6,4,4,"true","true",256,16,3.66751476955348e-10,3
8,4,1,2,"true","true",512,256,1.63711192083511e-09,3
4,1,4,2,"true","false",64,1,3.01655269263187e-10,3
4,4,4,2,"true","false",512,8,4.69095890429052e-10,3
4,4,16,4,"true","false",512,256,1.60580671264774e-08,3
9,3,16,4,"true","false",256,1,5.60156461358741e-10,3
2,2,8,2,"true","true",256,2,8.61508857619518e-10,3
12,3,16,2,"true","true",1024,2,6.05376137461497e-10,3
1,1,4,4,"true","false",256,256,1.79102111774418e-08,3
1,1,16,4,"true","true",32,2,3.39471626347845e-09,3
4,4,8,2,"true","true",128,2,6.58323740390065e-10,3
8,2,2,2,"true","true",256,1,2.11644842457898e-10,3
6,2,4,2,"true","false",64,4,3.8542564313316e-10,3
1,1,16,2,"true","true",512,16,1.95602060532973e-09,3
12,3,16,2,"true","false",512,128,2.09559107212069e-09,3
9,3,1,4,"true","false",32,32,3.11402308299814e-09,3
8,4,16,4,"true","false",256,4,8.59257426502152e-10,3
3,3,1,2,"true","false",64,2,1.6742729106273e-10,3
4,2,1,4,"true","true",128,32,9.61437562980474e-10,3
18,6,1,2,"true","true",256,64,7.65247234859495e-10,3
4,1,4,2,"true","false",512,1,3.30876055319031e-10,3
2,1,16,2,"true","false",32,4,3.01011382553966e-09,3
4,1,1,2,"true","true",128,128,4.49070904142273e-09,3
2,1,16,4,"true","true",256,4,1.13988071702372e-09,3
1,1,2,4,"true","false",512,256,5.35615070529501e-09,3
12,6,4,2,"true","true",32,32,4.63798459148012e-09,3
6,2,4,2,"true","false",1024,1024,4.77074702560699e-09,3
9,3,2,4,"true","false",256,1,2.27470250240073e-10,3
12,4,4,4,"true","false",512,1,2.13565949311131e-10,3
4,2,1,2,"true","true",256,2,1.84861911352974e-10,3
4,1,2,4,"true","false",128,128,4.49158147488985e-09,3
2,1,1,4,"true","false",512,256,2.69042875368061e-09,3
2,2,2,2,"true","false",1024,1024,7.88918022407974e-09,3
9,3,2,2,"true","false",256,16,3.28638644507607e-10,3
3,3,1,4,"true","false",256,1,1.41520426404846e-10,3
5,5,4,2,"true","true",128,1,4.32212263706564e-10,3
24,6,8,2,"true","true",256,128,2.07927648764968e-09,3
6,6,2,2,"true","false",1024,1024,8.47847481673667e-09,3
9,3,16,2,"true","true",512,2,5.63034410368764e-10,3
3,3,4,4,"true","true",32,4,1.46618894595889e-09,3
18,6,1,4,"true","false",256,128,1.52879383022684e-09,3
2,2,1,2,"true","true",32,1,3.54921391725856e-10,3
9,3,4,2,"true","true",32,16,1.82270004988964e-09,3
1,1,8,2,"true","false",128,128,2.59706666985616e-08,3
4,4,4,2,"true","false",512,256,5.55802904064519e-09,3
20,5,8,2,"true","true",1024,128,6.36790944576964e-10,3
24,6,8,4,"true","false",64,2,2.15053548605481e-10,3
3,1,4,2,"true","false",256,128,3.06793947661258e-09,3
5,5,4,2,"true","false",512,32,7.03257508733986e-10,3
4,4,4,4,"true","true",64,8,1.33409066801314e-09,3
8,2,4,2,"true","true",128,64,1.61358124908119e-09,3
18,6,4,4,"true","true",256,16,2.80145063694191e-10,3
12,3,8,2,"true","false",512,16,2.72764385925863e-10,3
6,3,16,2,"true","true",64,1,8.06728172748751e-10,3
12,3,4,2,"true","true",512,1,1.94934641717974e-10,3
1,1,8,2,"true","false",1024,256,6.85908374311975e-09,3
20,5,16,2,"true","false",256,4,4.683091812436e-10,3
9,3,4,4,"true","true",64,2,2.26429654944439e-10,3
10,5,16,2,"true","false",512,512,1.79470121871395e-08,3
5,5,16,4,"true","true",32,1,1.34083443073304e-09,3
5,5,4,4,"true","true",1024,2,5.33932224871053e-10,3
4,4,1,2,"true","true",128,64,1.47456713859494e-09,3
10,5,8,2,"true","true",1024,512,5.08884262792786e-09,3
6,2,8,4,"true","false",128,1,3.78007158889492e-10,3
12,3,8,4,"true","true",512,16,2.78375105249876e-10,3
6,2,4,4,"true","false",512,2,2.60146544179646e-10,3
6,3,1,2,"true","false",1024,2,1.64121934936074e-10,3
2,2,8,2,"true","true",256,4,8.67008245132771e-10,3
9,3,2,4,"true","true",64,16,9.66147910171787e-10,3
8,2,1,4,"true","true",1024,64,3.10619985577529e-10,3
4,1,1,2,"true","true",32,32,4.48864738993878e-09,3
12,3,8,4,"true","false",64,2,2.5634010886079e-10,3
6,2,1,4,"true","false",128,2,2.31171816467292e-10,3
24,6,1,2,"true","true",512,256,1.45947314786745e-09,3
3,1,4,2,"true","true",64,32,3.08088555662944e-09,3
8,4,2,4,"true","false",1024,2,1.70401909173972e-10,3
4,1,2,2,"true","true",512,128,1.20709529484765e-09,4
16,4,8,4,"true","true",256,128,2.07156766322302e-09,4
6,3,2,2,"true","true",512,512,3.45609797354953e-09,4
4,1,4,2,"true","false",32,32,4.48394296195957e-09,4
3,1,16,4,"true","true",1024,4,1.01367222361898e-09,4
4,4,8,2,"true","false",1024,1,9.11700163970958e-10,4
4,2,4,2,"true","true",512,128,1.66025254903393e-09,4
9,3,1,4,"true","false",512,512,3.4432004988218e-09,4
16,4,1,2,"true","true",1024,1,2.14127145463951e-10,4
4,1,4,2,"true","true",64,1,3.0391174713387e-10,4
24,6,2,2,"true","true",256,2,1.45094855072379e-10,4
4,4,1,4,"true","true",1024,1,1.38044091047538e-10,4
8,4,1,4,"true","true",128,128,3.07135327047907e-09,4
6,3,1,4,"true","false",512,512,3.45158637145073e-09,4
10,5,4,2,"true","true",512,32,3.83219430986458e-10,4
5,5,1,2,"true","true",32,1,2.3075900590078e-10,4
3,3,16,2,"true","true",128,128,2.79106160381041e-08,4
3,1,2,2,"true","false",256,256,5.97690563670874e-09,4
24,6,8,2,"true","true",32,32,3.57674611778104e-09,4
15,5,16,2,"true","true",512,16,6.53189299601748e-10,4
16,4,1,2,"true","true",256,256,2.73709615912674e-09,4
2,1,16,4,"true","true",512,2,1.13546107792845e-09,4
9,3,8,4,"true","true",512,1,3.36175482198665e-10,4
15,5,4,2,"true","true",64,4,2.86637425603955e-10,4
9,3,8,2,"true","true",256,256,5.70963287440414e-09,4
12,6,16,2,"true","false",64,16,2.99841387212024e-09,4
5,5,1,4,"true","false",512,64,4.00247176101504e-10,4
4,2,4,4,"true","false",512,64,8.77974442508653e-10,4
4,4,4,4,"true","false",128,32,2.51440639007117e-09,4
18,6,8,4,"true","true",64,4,4.14344250372107e-10,4
4,2,4,2,"true","false",1024,4,3.61218296951336e-10,4
2,2,2,4,"true","false",512,128,1.89593826547286e-09,4
16,4,2,4,"true","false",256,128,1.35045568954629e-09,4
4,1,2,2,"true","false",128,4,3.10837994469798e-10,4
2,1,2,2,"true","true",256,2,2.71586692415872e-10,4
18,6,2,2,"true","true",1024,64,3.5299077174901e-10,4
8,2,8,2,"true","true",64,64,4.72047733685356e-09,4
3,3,2,4,"true","true",256,128,3.2501959309459e-09,4
24,6,1,2,"true","true",256,128,1.34852192662962e-09,4
18,6,16,4,"true","false",32,32,8.07057103692366e-09,4
18,6,4,4,"true","false",512,4,1.9450493456345e-10,4
12,3,16,2,"true","true",1024,8,5.64068671514584e-10,4
4,1,16,4,"true","false",128,4,7.26710334919019e-10,4
9,3,4,2,"true","true",64,8,5.41885505644214e-10,4
2,1,8,2,"true","false",128,64,6.58192168331355e-09,4
5,5,16,4,"true","true",128,16,3.10921487570583e-09,4
20,5,1,4,"true","false",1024,1024,3.60933700418543e-09,4
6,2,8,2,"true","false",256,16,5.52455915116114e-10,4
24,6,8,4,"true","true",512,256,2.61244318764812e-09,4
20,5,2,2,"true","false",64,4,2.04569247043774e-10,4
4,1,4,2,"true","false",1024,32,3.24274492774496e-10,4
4,1,16,2,"true","true",32,8,2.90118336670337e-09,4
5,5,8,2,"true","false",1024,32,6.73079479281671e-10,4
8,4,16,4,"true","true",64,2,7.27372163014363e-10,4
6,3,2,4,"true","true",128,64,1.58307898747919e-09,4
8,2,8,4,"true","true",64,2,3.07749933563272e-10,4
24,6,8,2,"true","true",128,2,2.11165229688074e-10,4
3,1,16,2,"true","true",1024,1,1.07521680546392e-09,4
5,5,2,2,"true","true",32,32,5.41478599874176e-09,4
5,5,2,2,"true","false",128,32,1.38024345445099e-09,4
18,6,1,2,"true","false",64,32,1.42877933809155e-09,4
24,6,1,4,"true","false",256,256,2.74965299447481e-09,4
6,2,16,2,"true","true",128,2,6.06841216140359e-10,4
6,3,16,4,"true","false",64,16,3.42980061322956e-09,4
6,6,2,2,"true","false",512,256,3.25183493011085e-09,4
20,5,8,2,"true","false",128,32,9.70044955798675e-10,4
4,4,8,4,"true","true",512,32,1.12903810810807e-09,4
1,1,1,2,"true","true",1024,16,2.45866050354438e-10,4
6,6,8,2,"true","false",256,64,3.9518826225349e-09,4
3,1,4,2,"true","true",64,16,1.61238309154335e-09,4
2,1,1,4,"true","false",1024,1024,5.3802589192923e-09,4
8,4,4,4,"true","false",256,4,2.60908321635075e-10,4
